task1.S1/max(task1.S1)	task1.S2/max(task1.S2)
1.0	0.0
0.952184087417	0.0860795584226
0.9084841243	0.164749468186
0.868546298772	0.236646671442
0.832045573963	0.302356308756
0.798685417416	0.362412206247
0.768196030648	0.417300062773
0.740330881889	0.467463691803
0.714864001664	0.513309889978
0.691588792562	0.555210579799
0.670316678962	0.593505240436
0.650875385233	0.628504007353
0.633107433003	0.660490377568
0.616868223651	0.689724661608
0.602026879083	0.716442469924
0.588461986632	0.74086237303
0.576064957025	0.763179856409
0.564734859588	0.783576618316
0.55438072305	0.802216427803
0.544918232182	0.819251071533
0.536270787624	0.834818445841
0.52836779762	0.849045632001
0.521145262418	0.862047844179
0.514544141582	0.873931368638
0.508511061594	0.884792289892
0.502997058196	0.894718754787
0.497957548739	0.903791022266
0.49335187389	0.912082288411
0.489142926621	0.919659354347
0.485296440553	0.926583907374
0.481781074686	0.932912368447
0.478569664608	0.938693639713
0.475634966214	0.943976766776
0.472951912776	0.948806875472
0.470501222321	0.953218677754
0.468261961308	0.957249858772
0.466214493391	0.960935768434
0.464342723299	0.9643053819
0.462633224498	0.967382870001
0.461070741336	0.970195696388
0.459642308025	0.97276720244
0.458337115865	0.975116846288
0.457143884038	0.977264935975
0.456052461814	0.979229745137
0.455054936008	0.981025519311
0.454143249704	0.982666762784
0.453309758223	0.984167237726
0.45254779133	0.985538952081
0.451851420096	0.986792579275
0.451214790422	0.987938658023
0.450632603281	0.988986727783
0.450100783557	0.989944124693
0.449614708858	0.990819170116
0.449170327181	0.991619158581
0.448764248792	0.992350192384
0.448393193239	0.993018177087
0.448053952696	0.993628887509
0.44774376686	0.994187292825
0.447460406557	0.994697406058
0.447201364085	0.995163741644
0.446964459209	0.995590224503
0.446747997614	0.99597990479
0.446550105828	0.996336155181
0.446369142976	0.996661929625
0.446203712911	0.996959741508
0.446052519866	0.997231923505
0.445914294798	0.997480760182
0.445787921975	0.997708260114
0.445672450411	0.997916135289
0.44556690032	0.998106149548
0.445470387533	0.998279894598
0.445382223203	0.998438610519
0.44530164861	0.998583663179
0.445227983799	0.998716276657
0.445160654812	0.998837484204
0.445099140588	0.998948223849
0.445042903303	0.999049463801
0.44499147619	0.999142044345
0.444944492444	0.999226625813
0.444901539476	0.999303950961
0.444862257946	0.999374666682
0.444826389042	0.999439238898
0.444793626877	0.999498218274
0.444763691947	0.999552107982
0.444736321209	0.999601381558
0.444711257369	0.999646502193
0.444688447343	0.999687565447
0.444667653341	0.999724999398
0.444648659383	0.999759192858
0.444631273029	0.999790492264
0.444615296827	0.999819253075
0.444600787313	0.999845373512
0.444587578857	0.999869151749
0.444575497328	0.999890901259
0.444564412698	0.999910856123
0.444554191848	0.999929255987
0.44454488106	0.99994601753
0.444536394803	0.99996129473
0.444528615907	0.999975298519
0.444521472401	0.999988158462
0.444514894602	1.0
