task1.time	task1.S1	task1.S2	task1.S1/task1.S2
0.0	10.0	0.0	inf
0.1	9.52184087417	0.47815912583	19.9135399908
0.2	9.084841243	0.915158756997	9.927065849
0.3	8.68546298772	1.31453701228	6.60724110969
0.4	8.32045573963	1.67954426037	4.95399611427
0.5	7.98685417416	2.01314582584	3.96735004073
0.6	7.68196030648	2.31803969352	3.31398997522
0.7	7.40330881889	2.59669118111	2.8510547857
0.8	7.14864001664	2.85135998336	2.50709838756
0.9	6.91588792562	3.08411207438	2.24242432144
1.0	6.70316678962	3.29683321038	2.03321380303
1.1	6.50875385233	3.49124614767	1.86430677673
1.2	6.33107433003	3.66892566997	1.72559351143
1.3	6.16868223651	3.83131776349	1.61006802811
1.4	6.02026879083	3.97973120917	1.51273251242
1.5	5.88461986632	4.11538013368	1.42990918826
1.6	5.76064957025	4.23935042975	1.35885194341
1.7	5.64734859588	4.35265140412	1.297450237
1.8	5.5438072305	4.4561927695	1.24406809069
1.9	5.44918232182	4.55081767818	1.19740730286
2.0	5.36270787624	4.63729212376	1.15643089396
2.1	5.2836779762	4.7163220238	1.12029627102
2.2	5.21145262418	4.78854737582	1.08831597877
2.3	5.14544141582	4.85455858418	1.05991952236
2.4	5.08511061594	4.91488938406	1.03463378697
2.5	5.02997058196	4.97002941804	1.01206052497
2.6	4.97957548739	5.02042451261	0.991863432044
2.7	4.9335187389	5.0664812611	0.9737564366
2.8	4.89142926621	5.10857073379	0.957494673383
2.9	4.85296440553	5.14703559447	0.942865911155
3.0	4.81781074686	5.18218925314	0.929686376071
3.1	4.78569664608	5.21430335392	0.917801731362
3.2	4.75634966214	5.24365033786	0.907068426704
3.3	4.72951912776	5.27048087224	0.897360078219
3.4	4.70501222321	5.29498777679	0.888578486211
3.5	4.68261961308	5.31738038692	0.880625283947
3.6	4.66214493391	5.33785506609	0.87341167495
3.7	4.64342723299	5.35657276701	0.866865332549
3.8	4.62633224498	5.37366775502	0.860926364614
3.9	4.61070741336	5.38929258664	0.855531099719
4.0	4.59642308025	5.40357691975	0.850626010978
4.1	4.58337115865	5.41662884135	0.846166738185
4.2	4.57143884038	5.42856115962	0.842108747783
4.3	4.56052461814	5.43947538186	0.838412585402
4.4	4.55054936008	5.44945063992	0.835047358121
4.5	4.54143249704	5.45856750296	0.831982474262
4.6	4.53309758223	5.46690241777	0.82918940852
4.7	4.5254779133	5.4745220867	0.826643466155
4.8	4.51851420096	5.48148579904	0.824322887372
4.9	4.51214790422	5.48785209578	0.822206543737
5.0	4.50632603281	5.49367396719	0.820275476797
5.1	4.50100783557	5.49899216443	0.818515048027
5.2	4.49614708858	5.50385291142	0.816909020088
5.3	4.49170327181	5.50829672819	0.81544322927
5.4	4.48764248792	5.51235751208	0.814105848194
5.5	4.48393193239	5.51606806761	0.812885533214
5.6	4.48053952696	5.51946047304	0.811771286132
5.7	4.4774376686	5.5225623314	0.810753668301
5.8	4.47460406557	5.52539593443	0.809825054833
5.9	4.47201364085	5.52798635915	0.808976967435
6.0	4.46964459209	5.53035540791	0.808202052566
6.1	4.46747997614	5.53252002386	0.807494587795
6.2	4.46550105828	5.53449894172	0.80684829924
6.3	4.46369142976	5.53630857024	0.806257702788
6.4	4.46203712911	5.53796287089	0.805718137363
6.5	4.46052519866	5.53947480134	0.805225289152
6.6	4.45914294798	5.54085705202	0.804774948373
6.7	4.45787921975	5.54212078025	0.804363419078
6.8	4.45672450411	5.54327549589	0.803987553462
6.9	4.4556690032	5.5443309968	0.803644119692
7.0	4.45470387533	5.54529612467	0.803330205488
7.1	4.45382223203	5.54617776797	0.803043540679
7.2	4.4530164861	5.5469835139	0.802781633468
7.3	4.45227983799	5.54772016201	0.802542253027
7.4	4.45160654812	5.54839345188	0.802323517018
7.5	4.45099140588	5.54900859412	0.802123718208
7.6	4.45042903303	5.54957096697	0.801941097703
7.7	4.4499147619	5.5500852381	0.801774129765
7.8	4.44944492444	5.55055507556	0.801621615112
7.9	4.44901539476	5.55098460524	0.80148220742
8.0	4.44862257946	5.55137742054	0.801354734594
8.1	4.44826389042	5.55173610958	0.801238351864
8.2	4.44793626877	5.55206373123	0.801132062615
8.3	4.44763691947	5.55236308053	0.801034956641
8.4	4.44736321209	5.55263678791	0.80094617782
8.5	4.44711257369	5.55288742631	0.80086488925
8.6	4.44688447343	5.55311552657	0.800790916767
8.7	4.44667653341	5.55332346659	0.800723487504
8.8	4.44648659383	5.55351340617	0.800661899706
8.9	4.44631273029	5.55368726971	0.800605528248
9.0	4.44615296827	5.55384703173	0.800553732011
9.1	4.44600787313	5.55399212687	0.800506693488
9.2	4.44587578857	5.55412421143	0.80046387501
9.3	4.44575497328	5.55424502672	0.80042471153
9.4	4.44564412698	5.55435587302	0.800388781096
9.5	4.44554191848	5.55445808152	0.800355651844
9.6	4.4454488106	5.5545511894	0.800325473476
9.7	4.44536394803	5.55463605197	0.800297968479
9.8	4.44528615907	5.55471384093	0.800272756863
9.9	4.44521472401	5.55478527599	0.800249605185
10.0	4.44514894602	5.55485105398	0.800228287461
