repeat1.time	repeat1.S1	repeat1.S2
0.0	5.0	10.0
0.1	5.14339204169	9.85660795831
0.2	5.27454581936	9.72545418064
0.3	5.39438896289	9.60561103711
0.4	5.50389175999	9.49610824001
0.5	5.60394720517	9.39605279483
0.6	5.69538226988	9.30461773012
0.7	5.77894964732	9.22105035268
0.8	5.85532864542	9.14467135458
0.9	5.92513748729	9.07486251271
1.0	5.98894069238	9.01105930762
1.1	6.04725210718	8.95274789282
1.2	6.10054641352	8.89945358648
1.3	6.14925612768	8.85074387232
1.4	6.19377203663	8.80622796337
1.5	6.23445222104	8.76554777896
1.6	6.27163392336	8.72836607664
1.7	6.30562081485	8.69437918515
1.8	6.33668860095	8.66331139905
1.9	6.36508822949	8.63491177051
2.0	6.39104964261	8.60895035739
2.1	6.41477626086	8.58522373914
2.2	6.43646330203	8.56353669797
2.3	6.45628096522	8.54371903478
2.4	6.47439297308	8.52560702692
2.5	6.49094439983	8.50905560017
2.6	6.50607075931	8.49392924069
2.7	6.51989511778	8.48010488222
2.8	6.53252897056	8.46747102944
2.9	6.54407635851	8.45592364149
3.0	6.55462956341	8.44537043659
3.1	6.56428038883	8.43571961117
3.2	6.57310502905	8.42689497095
3.3	6.58117033633	8.41882966367
3.4	6.58854120122	8.41145879878
3.5	6.59529669913	8.40470330087
3.6	6.60147426663	8.39852573337
3.7	6.60711246817	8.39288753183
3.8	6.61226055192	8.38773944808
3.9	6.61698120484	8.38301879516
4.0	6.62129142677	8.37870857323
4.1	6.62521811761	8.37478188239
4.2	6.62879918276	8.37120081724
4.3	6.63207259747	8.36792740253
4.4	6.63505796525	8.36494203475
4.5	6.63778111037	8.36221888963
4.6	6.64026337547	8.35973662453
4.7	6.64252658303	8.35747341697
4.8	6.64459384356	8.35540615644
4.9	6.64648722085	8.35351277915
5.0	6.64821449411	8.35178550589
5.1	6.64979217548	8.35020782452
5.2	6.6512366476	8.3487633524
5.3	6.65256134002	8.34743865998
5.4	6.65377294578	8.34622705422
5.5	6.65488224396	8.34511775604
5.6	6.65589735777	8.34410264223
5.7	6.65682506807	8.34317493193
5.8	6.65767518642	8.34232481358
5.9	6.65845223708	8.34154776292
6.0	6.65916162807	8.34083837193
6.1	6.65980849777	8.34019150223
6.2	6.66039912629	8.33960087371
6.3	6.66093792389	8.33906207611
6.4	6.66142994744	8.33857005256
6.5	6.66187945414	8.33812054586
6.6	6.66228833977	8.33771166023
6.7	6.66266186265	8.33733813735
6.8	6.66300409568	8.33699590432
6.9	6.6633176962	8.3366823038
7.0	6.66360360944	8.33639639056
7.1	6.66386550447	8.33613449553
7.2	6.66410566928	8.33589433072
7.3	6.66432586771	8.33567413229
7.4	6.66452753438	8.33547246562
7.5	6.66471215579	8.33528784421
7.6	6.66488081101	8.33511918899
7.7	6.66503741918	8.33496258082
7.8	6.66518349256	8.33481650744
7.9	6.6653188476	8.3346811524
8.0	6.66544399732	8.33455600268
8.1	6.66555914491	8.33444085509
8.2	6.66566418378	8.33433581622
8.3	6.66575869757	8.33424130243
8.4	6.66584196007	8.33415803993
8.5	6.66592139451	8.33407860549
8.6	6.66600261578	8.33399738422
8.7	6.66607820922	8.33392179078
8.8	6.66614789235	8.33385210765
8.9	6.66621117512	8.33378882488
9.0	6.66626735987	8.33373264013
9.1	6.66631554135	8.33368445865
9.2	6.66635460672	8.33364539328
9.3	6.66638832353	8.33361167647
9.4	6.66642922167	8.33357077833
9.5	6.66646639935	8.33353360065
9.6	6.6664997087	8.3335002913
9.7	6.66652892174	8.33347107826
9.8	6.66655373041	8.33344626959
9.9	6.66657374657	8.33342625343
10.0	6.66658850199	8.33341149801
