task1.time	task1.S1	task1.S2	task2.S1	task2.S2
0.0	10.0	0.0	10.0	14.0
0.1	9.52184087417	0.47815912583	10.0573041459	13.9426958541
0.2	9.084841243	0.915158756997	10.1097975579	13.8902024421
0.3	8.68546298772	1.31453701228	10.1578039617	13.8421960383
0.4	8.32045573963	1.67954426037	10.201678265	13.798321735
0.5	7.98685417416	2.01314582584	10.2417531919	13.7582468081
0.6	7.68196030648	2.31803969352	10.2783522327	13.7216477673
0.7	7.40330881889	2.59669118111	10.3117742935	13.6882257065
0.8	7.14864001664	2.85135998336	10.3423080104	13.6576919896
0.9	6.91588792562	3.08411207438	10.3702123649	13.6297876351
1.0	6.70316678962	3.29683321038	10.3957160803	13.6042839197
1.1	6.50875385233	3.49124614767	10.4190250078	13.5809749922
1.2	6.33107433003	3.66892566997	10.4403221684	13.5596778316
1.3	6.16868223651	3.83131776349	10.4597874885	13.5402125115
1.4	6.02026879083	3.97973120917	10.4775768885	13.5224231115
1.5	5.88461986632	4.11538013368	10.4938368469	13.5061631531
1.6	5.76064957025	4.23935042975	10.5087046988	13.4912953012
1.7	5.64734859588	4.35265140412	10.5222956065	13.4777043935
1.8	5.5438072305	4.4561927695	10.5347220793	13.4652779207
1.9	5.44918232182	4.55081767818	10.5460824504	13.4539175496
2.0	5.36270787624	4.63729212376	10.5564688428	13.4435311572
2.1	5.2836779762	4.7163220238	10.5659790313	13.4340209687
2.2	5.21145262418	4.78854737582	10.574677301	13.425322699
2.3	5.14544141582	4.85455858418	10.5826214829	13.4173785171
2.4	5.08511061594	4.91488938406	10.5898827964	13.4101172036
2.5	5.02997058196	4.97002941804	10.5965480306	13.4034519694
2.6	4.97957548739	5.02042451261	10.6026383982	13.3973616018
2.7	4.9335187389	5.0664812611	10.6081876696	13.3918123304
2.8	4.89142926621	5.10857073379	10.613254022	13.386745978
2.9	4.85296440553	5.14703559447	10.6179047113	13.3820952887
3.0	4.81781074686	5.18218925314	10.6221477904	13.3778522096
3.1	4.78569664608	5.21430335392	10.6260080624	13.3739919376
3.2	4.75634966214	5.24365033786	10.6295301494	13.3704698506
3.3	4.72951912776	5.27048087224	10.6327571386	13.3672428614
3.4	4.70501222321	5.29498777679	10.6356997803	13.3643002197
3.5	4.68261961308	5.31738038692	10.6383785927	13.3616214073
3.6	4.66214493391	5.33785506609	10.6408239899	13.3591760101
3.7	4.64342723299	5.35657276701	10.6430611726	13.3569388274
3.8	4.62633224498	5.37366775502	10.6451026692	13.3548973308
3.9	4.61070741336	5.38929258664	10.6469639245	13.3530360755
4.0	4.59642308025	5.40357691975	10.6486651379	13.3513348621
4.1	4.58337115865	5.41662884135	10.6502214746	13.3497785254
4.2	4.57143884038	5.42856115962	10.6516427882	13.3483572118
4.3	4.56052461814	5.43947538186	10.6529392049	13.3470607951
4.4	4.55054936008	5.44945063992	10.6541258137	13.3458741863
4.5	4.54143249704	5.45856750296	10.6552119182	13.3447880818
4.6	4.53309758223	5.46690241777	10.6562037098	13.3437962902
4.7	4.5254779133	5.4745220867	10.6571074454	13.3428925546
4.8	4.51851420096	5.48148579904	10.6579355453	13.3420644547
4.9	4.51214790422	5.48785209578	10.6586933481	13.3413066519
5.0	4.50632603281	5.49367396719	10.6593848413	13.3406151587
5.1	4.50100783557	5.49899216443	10.6600141587	13.3399858413
5.2	4.49614708858	5.50385291142	10.6605911183	13.3394088817
5.3	4.49170327181	5.50829672819	10.661118602	13.338881398
5.4	4.48764248792	5.51235751208	10.6615996736	13.3384003264
5.5	4.48393193239	5.51606806761	10.662037358	13.337962642
5.6	4.48053952696	5.51946047304	10.6624386635	13.3375613365
5.7	4.4774376686	5.5225623314	10.6628052482	13.3371947518
5.8	4.47460406557	5.52539593443	10.663139604	13.336860396
5.9	4.47201364085	5.52798635915	10.6634439934	13.3365560066
6.0	4.46964459209	5.53035540791	10.6637231073	13.3362768927
6.1	4.46747997614	5.53252002386	10.6639780122	13.3360219878
6.2	4.46550105828	5.53449894172	10.6642105871	13.3357894129
6.3	4.46369142976	5.53630857024	10.6644224999	13.3355775001
6.4	4.46203712911	5.53796287089	10.6646168258	13.3353831742
6.5	4.46052519866	5.53947480134	10.6647943451	13.3352056549
6.6	4.45914294798	5.54085705202	10.6649563236	13.3350436764
6.7	4.45787921975	5.54212078025	10.6651040767	13.3348959233
6.8	4.45672450411	5.54327549589	10.66524076	13.33475924
6.9	4.4556690032	5.5443309968	10.6653662331	13.3346337669
7.0	4.45470387533	5.54529612467	10.6654812547	13.3345187453
7.1	4.45382223203	5.54617776797	10.6655863653	13.3344136347
7.2	4.4530164861	5.5469835139	10.6656818873	13.3343181127
7.3	4.45227983799	5.54772016201	10.6657679247	13.3342320753
7.4	4.45160654812	5.54839345188	10.6658492035	13.3341507965
7.5	4.45099140588	5.54900859412	10.6659246065	13.3340753935
7.6	4.45042903303	5.54957096697	10.665993665	13.334006335
7.7	4.4499147619	5.5500852381	10.6660564792	13.3339435208
7.8	4.44944492444	5.55055507556	10.6661129994	13.3338870006
7.9	4.44901539476	5.55098460524	10.6661630263	13.3338369737
8.0	4.44862257946	5.55137742054	10.6662091914	13.3337908086
8.1	4.44826389042	5.55173610958	10.666253193	13.333746807
8.2	4.44793626877	5.55206373123	10.6662932255	13.3337067745
8.3	4.44763691947	5.55236308053	10.6663293763	13.3336706237
8.4	4.44736321209	5.55263678791	10.66636166	13.33363834
8.5	4.44711257369	5.55288742631	10.6663900185	13.3336099815
8.6	4.44688447343	5.55311552657	10.6664150001	13.3335849999
8.7	4.44667653341	5.55332346659	10.666439147	13.333560853
8.8	4.44648659383	5.55351340617	10.6664609355	13.3335390645
8.9	4.44631273029	5.55368726971	10.6664805153	13.3335194847
9.0	4.44615296827	5.55384703173	10.6664980078	13.3335019922
9.1	4.44600787313	5.55399212687	10.6665135065	13.3334864935
9.2	4.44587578857	5.55412421143	10.6665270765	13.3334729235
9.3	4.44575497328	5.55424502672	10.6665397721	13.3334602279
9.4	4.44564412698	5.55435587302	10.6665512699	13.3334487301
9.5	4.44554191848	5.55445808152	10.6665616362	13.3334383638
9.6	4.4454488106	5.5545511894	10.6665709854	13.3334290146
9.7	4.44536394803	5.55463605197	10.6665794177	13.3334205823
9.8	4.44528615907	5.55471384093	10.6665870188	13.3334129812
9.9	4.44521472401	5.55478527599	10.6665934835	13.3334065165
10.0	4.44514894602	5.55485105398	10.6665989553	13.3334010447
