task1.time	task1.S1	task1.S2	task1.J0_v0
0.0	0.0	1.0	8.0
0.1	0.745532473107	0.652365293484	8.0
0.1	0.745532473107	0.652365293484	8.0
0.2	1.41783669291	0.498244071731	8.0
0.2	1.41783669291	0.498244071731	8.0
0.3	2.02731612805	0.454141681845	8.0
0.3	2.02731612805	0.454141681845	8.0
0.4	2.57401091499	0.476846887678	8.0
0.4	2.57401091499	0.476846887678	8.0
0.5	3.05491429285	0.542556588893	8.0
0.5	3.05491429285	0.542556588893	8.0
0.6	3.46063380309	0.642016598777	8.0
0.6	3.46063380309	0.642016598777	8.0
0.7	3.76808825518	0.780831474903	8.0
0.7	3.76808825518	0.780831474903	8.0
0.8	3.9163155936	0.993573149792	8.0
0.8	3.9163155936	0.993573149792	8.0
0.9	3.67861273448	1.44090535263	8.0
0.9	3.67861273448	1.44090535263	8.0
1.0	1.1622529253	3.6524204052	8.0
1.0	1.1622529253	3.6524204052	8.0
1.1	0.158417776962	3.49441065771	8.0
1.1	0.158417776962	3.49441065771	8.0
1.2	0.315383461334	2.62263283333	8.0
1.2	0.315383461334	2.62263283333	8.0
1.3	0.555856069231	2.02840160583	8.0
1.3	0.555856069231	2.02840160583	8.0
1.4	0.872487263952	1.60835399761	8.0
1.4	0.872487263952	1.60835399761	8.0
1.5	1.24748578003	1.30836193411	8.0
1.5	1.24748578003	1.30836193411	8.0
1.6	1.65433605951	1.10239967803	8.0
1.6	1.65433605951	1.10239967803	8.0
1.7	2.06376986565	0.976329398132	8.0
1.7	2.06376986565	0.976329398132	8.0
1.8	2.44881448248	0.919887455458	8.0
1.8	2.44881448248	0.919887455458	8.0
1.9	2.78383418865	0.925904938627	8.0
1.9	2.78383418865	0.925904938627	8.0
2.0	3.03695038881	0.995292681263	8.0
2.0	3.03695038881	0.995292681263	8.0
2.1	3.14913938155	1.15113066545	8.0
2.1	3.14913938155	1.15113066545	8.0
2.2	2.95433739397	1.49671344937	8.0
2.2	2.95433739397	1.49671344937	8.0
2.3	1.7345187987	2.55726966357	8.0
2.3	1.7345187987	2.55726966357	8.0
2.4	0.273981932844	3.23685645748	8.0
2.4	0.273981932844	3.23685645748	8.0
2.5	0.358570084397	2.51659493269	8.0
2.5	0.358570084397	2.51659493269	8.0
2.6	0.600716149424	1.96237929578	8.0
2.6	0.600716149424	1.96237929578	8.0
2.7	0.922888672796	1.56398041873	8.0
2.7	0.922888672796	1.56398041873	8.0
2.8	1.30139937699	1.27886361117	8.0
2.8	1.30139937699	1.27886361117	8.0
2.9	1.70829033176	1.08459056118	8.0
2.9	1.70829033176	1.08459056118	8.0
3.0	2.11436820435	0.968272876247	8.0
3.0	2.11436820435	0.968272876247	8.0
3.1	2.49288751846	0.920180904838	8.0
3.1	2.49288751846	0.920180904838	8.0
3.2	2.81801530877	0.933995599478	8.0
3.2	2.81801530877	0.933995599478	8.0
3.3	3.05578060945	1.01252891383	8.0
3.3	3.05578060945	1.01252891383	8.0
3.4	3.13995487594	1.18429179765	8.0
3.4	3.13995487594	1.18429179765	8.0
3.5	2.8729462084	1.57635619563	8.0
3.5	2.8729462084	1.57635619563	8.0
3.6	1.41333496022	2.79991536894	8.0
3.6	1.41333496022	2.79991536894	8.0
3.7	0.263485407564	3.13801436697	8.0
3.7	0.263485407564	3.13801436697	8.0
3.8	0.386465076884	2.42899221073	8.0
3.8	0.386465076884	2.42899221073	8.0
3.9	0.640842132453	1.89965047428	8.0
3.9	0.640842132453	1.89965047428	8.0
4.0	0.972157952293	1.5188401999	8.0
4.0	0.972157952293	1.5188401999	0.1
4.1	0.699394922968	1.13520710408	0.1
4.1	0.699394922968	1.13520710408	0.1
4.2	0.588232130232	0.781193079216	0.1
4.2	0.588232130232	0.781193079216	0.1
4.3	0.526927944454	0.529102679521	0.1
4.3	0.526927944454	0.529102679521	0.1
4.4	0.482062800848	0.363753903452	0.1
4.4	0.482062800848	0.363753903452	0.1
4.5	0.444396044065	0.25796030395	0.1
4.5	0.444396044065	0.25796030395	0.1
4.6	0.411169676735	0.190345062543	0.1
4.6	0.411169676735	0.190345062543	0.1
4.7	0.381380018431	0.146655608007	0.1
4.7	0.381380018431	0.146655608007	0.1
4.8	0.354523574069	0.117866890618	0.1
4.8	0.354523574069	0.117866890618	0.1
4.9	0.330262118312	0.0983720259508	0.1
4.9	0.330262118312	0.0983720259508	0.1
5.0	0.30832725333	0.084725622333	0.1
5.0	0.30832725333	0.084725622333	0.1
5.1	0.288488514271	0.0748051821681	0.1
5.1	0.288488514271	0.0748051821681	0.1
5.2	0.270542482921	0.0673045423506	0.1
5.2	0.270542482921	0.0673045423506	0.1
5.3	0.254307060951	0.0614144010964	0.1
5.3	0.254307060951	0.0614144010964	0.1
5.4	0.239618485276	0.0566297862207	0.1
5.4	0.239618485276	0.0566297862207	0.1
5.5	0.226328980618	0.0526316180041	0.1
5.5	0.226328980618	0.0526316180041	0.1
5.6	0.214305109265	0.049215131369	0.1
5.6	0.214305109265	0.049215131369	0.1
5.7	0.203426230834	0.046245986359	0.1
5.7	0.203426230834	0.046245986359	0.1
5.8	0.193583202629	0.0436336053705	0.1
5.8	0.193583202629	0.0436336053705	0.1
5.9	0.184677273411	0.0413148771557	0.1
5.9	0.184677273411	0.0413148771557	0.1
6.0	0.176619124147	0.0392441605506	0.1
6.0	0.176619124147	0.0392441605506	8.0
6.1	0.921102802729	0.0699208481303	8.0
6.1	0.921102802729	0.0699208481303	8.0
6.2	1.59457500496	0.144189836672	8.0
6.2	1.59457500496	0.144189836672	8.0
6.3	2.20270723727	0.240506820057	8.0
6.3	2.20270723727	0.240506820057	8.0
6.4	2.74799620411	0.348351324199	8.0
6.4	2.74799620411	0.348351324199	8.0
6.5	3.22786168061	0.465417999321	8.0
6.5	3.22786168061	0.465417999321	8.0
6.6	3.63197351432	0.596576050349	8.0
6.6	3.63197351432	0.596576050349	8.0
6.7	3.93455969663	0.757286455836	8.0
6.7	3.93455969663	0.757286455836	8.0
6.8	4.06696747061	0.992380296955	8.0
6.8	4.06696747061	0.992380296955	8.0
6.9	3.75213218061	1.50556734506	8.0
6.9	3.75213218061	1.50556734506	8.0
7.0	0.576489756076	4.22075583255	8.0
7.0	0.576489756076	4.22075583255	8.0
7.1	0.162172415118	3.44359738192	8.0
7.1	0.162172415118	3.44359738192	8.0
7.2	0.325403675466	2.58705649707	8.0
7.2	0.325403675466	2.58705649707	8.0
7.3	0.570122689382	2.00349485815	8.0
7.3	0.570122689382	2.00349485815	8.0
7.4	0.890302775967	1.59052323595	8.0
7.4	0.890302775967	1.59052323595	8.0
7.5	1.2676172584	1.29577354021	8.0
7.5	1.2676172584	1.29577354021	8.0
7.6	1.6753061755	1.09415338484	8.0
7.6	1.6753061755	1.09415338484	8.0
7.7	2.08413491154	0.971848048888	8.0
7.7	2.08413491154	0.971848048888	8.0
7.8	2.46727133206	0.918712313992	8.0
7.8	2.46727133206	0.918712313992	8.0
7.9	2.79901271553	0.927821803402	8.0
7.9	2.79901271553	0.927821803402	8.0
8.0	3.04679526638	1.00074444188	8.0
8.0	3.04679526638	1.00074444188	8.0
8.1	3.14904695618	1.16249562731	8.0
8.1	3.14904695618	1.16249562731	8.0
8.2	2.92856474399	1.52478108049	8.0
8.2	2.92856474399	1.52478108049	8.0
8.3	1.61659951668	2.64975982689	8.0
8.3	1.61659951668	2.64975982689	8.0
8.4	0.267388601123	3.20234994067	8.0
8.4	0.267388601123	3.20234994067	8.0
8.5	0.368494259453	2.48383042766	8.0
8.5	0.368494259453	2.48383042766	8.0
8.6	0.615330801665	1.93886308291	8.0
8.6	0.615330801665	1.93886308291	8.0
8.7	0.940960562545	1.5470341342	8.0
8.7	0.940960562545	1.5470341342	8.0
8.8	1.32162043281	1.26694629454	8.0
8.8	1.32162043281	1.26694629454	8.0
8.9	1.72916067157	1.0769000086	8.0
8.9	1.72916067157	1.0769000086	8.0
9.0	2.13446144019	0.964263264325	8.0
9.0	2.13446144019	0.964263264325	8.0
9.1	2.51091013618	0.91942332829	8.0
9.1	2.51091013618	0.91942332829	8.0
9.2	2.83254545568	0.936337220492	8.0
9.2	2.83254545568	0.936337220492	8.0
9.3	3.06457592322	1.0185644448	8.0
9.3	3.06457592322	1.0185644448	8.0
9.4	3.13772696165	1.19690637093	8.0
9.4	3.13772696165	1.19690637093	8.0
9.5	2.84044669219	1.60903509599	8.0
9.5	2.84044669219	1.60903509599	8.0
9.6	1.28895132189	2.89264205099	8.0
9.6	1.28895132189	2.89264205099	8.0
9.7	0.262288018537	3.1006354202	8.0
9.7	0.262288018537	3.1006354202	8.0
9.8	0.397137321503	2.39767155305	8.0
9.8	0.397137321503	2.39767155305	8.0
9.9	0.655995873633	1.87712668106	8.0
9.9	0.655995873633	1.87712668106	8.0
10.0	0.990634414248	1.50260393317	8.0
10.0	0.990634414248	1.50260393317	8.0
10.1	1.37666628489	1.23585744755	8.0
