task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.1	4.09366362981	0.906336370186
0.2	3.35164920007	1.64835079993
0.3	2.74409439771	2.25590560229
0.4	2.24667033422	2.75332966578
0.5	1.83940982345	3.16059017655
0.6	1.50595844097	3.49404155903
0.7	1.23295960952	3.76704039048
0.8	1.00946628328	3.99053371672
0.9	0.826485714978	4.17351428502
1.0	0.67666875888	4.32333124112
1.1	0.554011216024	4.44598878398
1.2	0.453596504025	4.54640349598
1.3	0.371378859651	4.62862114035
1.4	0.3040577568	4.6959422432
1.5	0.2489415478	4.7510584522
1.6	0.203818212183	4.79618178782
1.7	0.166873276958	4.83312672304
1.8	0.136624242241	4.86337575776
1.9	0.111858843908	4.88814115609
2.0	0.0915829684142	4.90841703159
2.1	0.0749821175561	4.92501788244
2.2	0.0613903032836	4.93860969672
2.3	0.0502623455558	4.94973765444
2.4	0.0411515653287	4.95884843467
2.5	0.0336921854942	4.96630781451
2.6	0.0275849143991	4.9724150856
2.7	0.0225847252561	4.97741527474
2.8	0.0184908998811	4.98150910012
2.9	0.0151391271237	4.98486087288
3.0	0.0123949154834	4.98760508452
3.1	0.0101481462039	4.9898518538
3.2	0.00830863671289	4.99169136329
3.3	0.00680256136094	4.99319743864
3.4	0.00556949049346	4.99443050951
3.5	0.00455993399111	4.99544006601
3.6	0.00373337381354	4.99626662619
3.7	0.00305663997675	4.99694336002
3.8	0.00250257633574	4.99749742366
3.9	0.00204894524278	4.99795105476
4.0	0.00167754086443	4.99832245914
4.1	0.00137346036918	4.99862653963
4.2	0.00112449925736	4.99887550074
4.3	0.000920665963538	4.99907933404
4.4	0.000753780562179	4.99924621944
4.5	0.000617146083374	4.99938285392
4.6	0.000505278680183	4.99949472132
4.7	0.00041368877323	4.99958631123
4.8	0.000338701229336	4.99966129877
4.9	0.000277306345942	4.99972269365
5.0	0.00022704017448	4.99977295983
5.1	0.000185885522422	4.99981411448
5.2	0.00015219087501	4.99984780912
5.3	0.000124603891363	4.99987539611
5.4	0.000102017427049	4.99989798257
5.5	8.35251774216e-05	4.99991647482
5.6	6.83849356319e-05	4.99993161506
5.7	5.59890811789e-05	4.99994401092
5.8	4.58401678399e-05	4.99995415983
5.9	3.75309232377e-05	4.99996246908
6.0	3.07278544793e-05	4.99996927215
6.1	2.51579354921e-05	4.99997484206
6.2	2.05976673635e-05	4.99997940233
6.3	1.68640187193e-05	4.99998313598
6.4	1.38071476606e-05	4.99998619285
6.5	1.1304382202e-05	4.99998869562
6.6	9.25528680834e-06	4.99999074471
6.7	7.57762080777e-06	4.99999242238
6.8	6.20405490484e-06	4.99999379595
6.9	5.0794732097e-06	4.99999492053
7.0	4.15873941481e-06	4.99999584126
7.1	3.40490185601e-06	4.9999965951
7.2	2.78770918697e-06	4.99999721229
7.3	2.28239346444e-06	4.99999771761
7.4	1.86867381583e-06	4.99999813133
7.5	1.52994657582e-06	4.99999847005
7.6	1.2526220963e-06	4.99999874738
7.7	1.02557999863e-06	4.99999897442
7.8	8.39719954589e-07	4.99999916028
7.9	6.87557451891e-07	4.99999931244
8.0	5.62961254192e-07	4.99999943704
8.1	4.60933161811e-07	4.99999953907
8.2	3.77390083095e-07	4.99999962261
8.3	3.08989373938e-07	4.99999969101
8.4	2.52990806506e-07	4.99999974701
8.5	2.07144406059e-07	4.99999979286
8.6	1.69604141451e-07	4.9999998304
8.7	1.38864966124e-07	4.99999986114
8.8	1.13696182088e-07	4.9999998863
8.9	9.30908324888e-08	4.99999990691
9.0	7.62326020906e-08	4.99999992377
9.1	6.24346293737e-08	4.99999993757
9.2	5.1156223374e-08	4.99999994884
9.3	4.1916708545e-08	4.99999995808
9.4	3.43554319046e-08	4.99999996564
9.5	2.81516079636e-08	4.99999997185
9.6	2.3063843105e-08	4.99999997694
9.7	1.88899864473e-08	4.99999998111
9.8	1.54680381476e-08	4.99999998453
9.9	1.26665094264e-08	4.99999998733
10.0	1.03749586442e-08	4.99999998963
