task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.1	3.351653408	1.648346592
0.2	2.24667276367	2.75332723633
0.3	1.50596333214	3.49403666786
0.4	1.00946955946	3.99053044054
0.5	0.676670772171	4.32332922783
0.6	0.453589235254	4.54641076475
0.7	0.304051097354	4.69594890265
0.8	0.203812849116	4.79618715088
0.9	0.136620489042	4.86337951096
1.0	0.0915799832353	4.90842001676
1.1	0.0613882232341	4.93861177677
1.2	0.0411499731438	4.95885002686
1.3	0.0275837986834	4.97241620132
1.4	0.0184900720817	4.98150992792
1.5	0.0123943349368	4.98760566506
1.6	0.00830821557372	4.99169178443
1.7	0.00556919293675	4.99443080706
1.8	0.00373316134657	4.99626683865
1.9	0.00250242627924	4.99749757372
2.0	0.00167743582244	4.99832256418
2.1	0.00112442489931	4.9988755751
2.2	0.000753728540079	4.99924627146
2.3	0.000505242013796	4.99949475799
2.4	0.000338675647861	4.99966132435
2.5	0.000227022343339	4.99977297766
2.6	0.00015217844754	4.99984782155
2.7	0.000102008804359	4.9998979912
2.8	6.83789070196e-05	4.99993162109
2.9	4.58359944154e-05	4.99995416401
3.0	3.07249574752e-05	4.99996927504
3.1	2.05956661729e-05	4.99997940433
3.2	1.38057611115e-05	4.99998619424
3.3	9.25432722863e-06	4.99999074567
3.4	6.20339383337e-06	4.99999379661
3.5	4.15828237851e-06	4.99999584172
3.6	2.78739513722e-06	4.9999972126
3.7	1.86851148201e-06	4.99999813149
3.8	1.2526029017e-06	4.9999987474
3.9	8.39683040508e-07	4.99999916032
4.0	5.62882922557e-07	4.99999943712
4.1	3.77334946063e-07	4.99999962267
4.2	2.52945957357e-07	4.99999974705
4.3	1.69564531901e-07	4.99999983044
4.4	1.13668273848e-07	4.99999988633
4.5	7.62083696257e-08	4.99999992379
4.6	5.11222356031e-08	4.99999994888
4.7	3.43171210287e-08	4.99999996568
4.8	2.30277284321e-08	4.99999997697
4.9	1.54413792838e-08	4.99999998456
5.0	1.03666201852e-08	4.99999998963
5.1	6.98755518598e-09	4.99999999301
5.2	4.76346661146e-09	4.99999999524
5.3	3.27155700185e-09	4.99999999673
5.4	2.23806866478e-09	4.99999999776
5.5	1.51849181499e-09	4.99999999848
5.6	1.01561176304e-09	4.99999999898
5.7	6.78159584958e-10	4.99999999932
5.8	4.58963135284e-10	4.99999999954
5.9	3.1667209066e-10	4.99999999968
6.0	2.22189445443e-10	4.99999999978
6.1	1.5638063915e-10	4.99999999984
6.2	1.12704374593e-10	4.99999999989
6.3	7.89981826806e-11	4.99999999992
6.4	5.52928542361e-11	4.99999999994
6.5	3.73512926153e-11	4.99999999996
6.6	2.26583935195e-11	4.99999999998
6.7	1.1292530061e-11	4.99999999999
6.8	3.77636743661e-12	5.0
6.9	-8.4190921997e-12	5.00000000001
7.0	-1.91513891162e-11	5.00000000002
7.1	-2.42582330331e-11	5.00000000002
7.2	-2.46932925667e-11	5.00000000002
7.3	-3.232765033e-11	5.00000000003
7.4	-3.69349897191e-11	5.00000000004
7.5	-3.54387708203e-11	5.00000000004
7.6	-3.02569246697e-11	5.00000000003
7.7	-2.88519114618e-11	5.00000000003
7.8	-2.58399614936e-11	5.00000000003
7.9	-2.09278148355e-11	5.00000000002
8.0	-1.52878390082e-11	5.00000000002
8.1	-1.05557869734e-11	5.00000000001
8.2	-6.41522277329e-12	5.00000000001
8.3	-3.52962210905e-12	5.0
8.4	-9.56488309272e-14	5.0
8.5	4.30561008902e-12	5.0
8.6	8.08478358355e-12	4.99999999999
8.7	1.08742584131e-11	4.99999999999
8.8	1.23064213381e-11	4.99999999999
8.9	1.2013659119e-11	4.99999999999
9.0	9.62835851623e-12	4.99999999999
9.1	1.01366801746e-11	4.99999999999
9.2	1.06039258423e-11	4.99999999999
9.3	1.06290191432e-11	4.99999999999
9.4	1.01643852074e-11	4.99999999999
9.5	9.16244916485e-12	4.99999999999
9.6	7.57563614557e-12	4.99999999999
9.7	5.71786930498e-12	4.99999999999
9.8	4.70617198404e-12	5.0
9.9	3.70850139999e-12	5.0
10.0	2.77087032966e-12	5.0
