task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.1	3.70412627003	1.29587372997
0.2	2.74409671896	2.25590328104
0.3	2.0328712008	2.9671287992
0.4	1.50596132918	3.49403867082
0.5	1.11563102087	3.88436897913
0.6	0.82648705943	4.17351294057
0.7	0.612276615911	4.38772338409
0.8	0.453595433554	4.54640456645
0.9	0.336035992053	4.66396400795
1.0	0.248941052414	4.75105894759
1.1	0.184422622283	4.81557737772
1.2	0.136623891408	4.86337610859
1.3	0.101217815623	4.89878218438
1.4	0.0749858098101	4.92501419019
1.5	0.0555503756206	4.94444962438
1.6	0.0411536309504	4.95884636905
1.7	0.0304876784943	4.96951232151
1.8	0.0225859205521	4.97741407945
1.9	0.0167323458119	4.98326765419
2.0	0.0123957191351	4.98760428086
2.1	0.00918305977537	4.99081694022
2.2	0.00680307165401	4.99319692835
2.3	0.00503988014966	4.99496011985
2.4	0.00373367382161	4.99626632618
2.5	0.0027660058088	4.99723399419
2.6	0.00204912741731	4.99795087258
2.7	0.0015180473808	4.99848195262
2.8	0.00112460866925	4.99887539133
2.9	0.000833138874053	4.99916686113
3.0	0.000617211509086	4.99938278849
3.1	0.0004572462023	4.9995427538
3.2	0.000338739701873	4.9996612603
3.3	0.000250947139119	4.99974905286
3.4	0.000185908276296	4.99981409172
3.5	0.000137725670214	4.99986227433
3.6	0.000102030724755	4.99989796928
3.7	7.55869814184e-05	4.99992441302
3.8	5.59968380857e-05	4.99994400316
3.9	4.14839129286e-05	4.99995851609
4.0	3.07323493244e-05	4.99996926765
4.1	2.27673151401e-05	4.99997723268
4.2	1.68666279878e-05	4.99998313337
4.3	1.2495237257e-05	4.99998750476
4.4	9.25679358633e-06	4.99999074321
4.5	6.85767066189e-06	4.99999314233
4.6	5.08034276638e-06	4.99999491966
4.7	3.76365067333e-06	4.99999623635
4.8	2.78820941125e-06	4.99999721179
4.9	2.06557720682e-06	4.99999793442
5.0	1.53023367685e-06	4.99999846977
5.1	1.1336372258e-06	4.99999886636
5.2	8.39827709193e-07	4.99999916017
5.3	6.22166921008e-07	4.99999937783
5.4	4.60942013478e-07	4.99999953906
5.5	3.41531687748e-07	4.99999965847
5.6	2.5306089924e-07	4.99999974694
5.7	1.87492038958e-07	4.99999981251
5.8	1.3890618464e-07	4.99999986109
5.9	1.02915200191e-07	4.99999989708
6.0	7.62536441215e-08	4.99999992375
6.1	5.64966790197e-08	4.9999999435
6.2	4.1858766344e-08	4.99999995814
6.3	3.1021053572e-08	4.99999996898
6.4	2.30114599753e-08	4.99999997699
6.5	1.7080211101e-08	4.99999998292
6.6	1.26770453042e-08	4.99999998732
6.7	9.40493582395e-09	4.9999999906
6.8	6.97226986324e-09	4.99999999303
6.9	5.16690834936e-09	4.99999999483
7.0	3.83626898297e-09	4.99999999616
7.1	2.86963074672e-09	4.99999999713
7.2	2.15712217929e-09	4.99999999784
7.3	1.66878528426e-09	4.99999999833
7.4	1.28325265963e-09	4.99999999872
7.5	1.02640916256e-09	4.99999999897
7.6	8.05489198792e-10	4.99999999919
7.7	6.31857962992e-10	4.99999999937
7.8	4.86112521535e-10	4.99999999951
7.9	3.60791658753e-10	4.99999999964
8.0	2.61081383941e-10	4.99999999974
8.1	1.88277277988e-10	4.99999999981
8.2	1.35780460878e-10	4.99999999986
8.3	1.02011448352e-10	4.9999999999
8.4	8.37416385377e-11	4.99999999992
8.5	6.80825064639e-11	4.99999999993
8.6	5.93273247893e-11	4.99999999994
8.7	4.8410696918e-11	4.99999999995
8.8	3.64563405812e-11	4.99999999996
8.9	2.53176065962e-11	4.99999999997
9.0	1.5169069902e-11	4.99999999998
9.1	7.17441535855e-12	4.99999999999
9.2	3.5529750414e-12	5.0
9.3	2.10981298271e-12	5.0
9.4	2.3979308087e-12	5.0
9.5	4.28100089982e-12	5.0
9.6	5.03717787534e-12	4.99999999999
9.7	8.66318700118e-12	4.99999999999
9.8	1.24307865347e-11	4.99999999999
9.9	1.37741869507e-11	4.99999999999
10.0	1.55353113835e-11	4.99999999998
