task1.k1	task1.S1
3.0	5.0
3.0	3.70412627003
3.0	2.74409671896
3.0	2.0328712008
3.0	1.50596132918
3.0	1.11563102087
3.0	0.82648705943
3.0	0.612276615911
3.0	0.453595433554
3.0	0.336035992053
3.0	0.248941052414
3.0	0.184422622283
3.0	0.136623891408
3.0	0.101217815623
3.0	0.0749858098101
3.0	0.0555503756206
3.0	0.0411536309504
3.0	0.0304876784943
3.0	0.0225859205521
3.0	0.0167323458119
3.0	0.0123957191351
3.0	0.00918305977537
3.0	0.00680307165401
3.0	0.00503988014966
3.0	0.00373367382161
3.0	0.0027660058088
3.0	0.00204912741731
3.0	0.0015180473808
3.0	0.00112460866925
3.0	0.000833138874053
3.0	0.000617211509086
3.0	0.0004572462023
3.0	0.000338739701873
3.0	0.000250947139119
3.0	0.000185908276296
3.0	0.000137725670214
3.0	0.000102030724755
3.0	7.55869814184e-05
3.0	5.59968380857e-05
3.0	4.14839129286e-05
3.0	3.07323493244e-05
3.0	2.27673151401e-05
3.0	1.68666279878e-05
3.0	1.2495237257e-05
3.0	9.25679358633e-06
3.0	6.85767066189e-06
3.0	5.08034276638e-06
3.0	3.76365067333e-06
3.0	2.78820941125e-06
3.0	2.06557720682e-06
3.0	1.53023367685e-06
3.0	1.1336372258e-06
3.0	8.39827709193e-07
3.0	6.22166921008e-07
3.0	4.60942013478e-07
3.0	3.41531687748e-07
3.0	2.5306089924e-07
3.0	1.87492038958e-07
3.0	1.3890618464e-07
3.0	1.02915200191e-07
3.0	7.62536441215e-08
3.0	5.64966790197e-08
3.0	4.1858766344e-08
3.0	3.1021053572e-08
3.0	2.30114599753e-08
3.0	1.7080211101e-08
3.0	1.26770453042e-08
3.0	9.40493582395e-09
3.0	6.97226986324e-09
3.0	5.16690834936e-09
3.0	3.83626898297e-09
3.0	2.86963074672e-09
3.0	2.15712217929e-09
3.0	1.66878528426e-09
3.0	1.28325265963e-09
3.0	1.02640916256e-09
3.0	8.05489198792e-10
3.0	6.31857962992e-10
3.0	4.86112521535e-10
3.0	3.60791658753e-10
3.0	2.61081383941e-10
3.0	1.88277277988e-10
3.0	1.35780460878e-10
3.0	1.02011448352e-10
3.0	8.37416385377e-11
3.0	6.80825064639e-11
3.0	5.93273247893e-11
3.0	4.8410696918e-11
3.0	3.64563405812e-11
3.0	2.53176065962e-11
3.0	1.5169069902e-11
3.0	7.17441535855e-12
3.0	3.5529750414e-12
3.0	2.10981298271e-12
3.0	2.3979308087e-12
3.0	4.28100089982e-12
3.0	5.03717787534e-12
3.0	8.66318700118e-12
3.0	1.24307865347e-11
3.0	1.37741869507e-11
3.0	1.55353113835e-11
