task1.k1	task1.S1
1.0	5.0
1.0	4.52418821726
1.0	4.09366338555
1.0	3.70412341997
1.0	3.35164526149
1.0	3.03269463211
1.0	2.74409083869
1.0	2.48295350374
1.0	2.24666797468
1.0	2.03286510428
1.0	1.83940404286
1.0	1.66435249819
1.0	1.50596059897
1.0	1.36264325371
1.0	1.23296550004
1.0	1.11562884019
1.0	1.00945818011
1.0	0.913391092531
1.0	0.826466589715
1.0	0.747814560073
1.0	0.676647671306
1.0	0.612253525701
1.0	0.55398754213
1.0	0.501266353237
1.0	0.453562339173
1.0	0.410398286617
1.0	0.371342084507
1.0	0.336002763003
1.0	0.304026574024
1.0	0.275093445187
1.0	0.248913711115
1.0	0.225225335147
1.0	0.203791370131
1.0	0.184397240648
1.0	0.166848802261
1.0	0.150970394226
1.0	0.136603078204
1.0	0.123603022301
1.0	0.111840088137
1.0	0.101196627729
1.0	0.0915660888886
1.0	0.0828520650128
1.0	0.0749673280501
1.0	0.067832953863
1.0	0.0613775235618
1.0	0.0555364046071
1.0	0.0502511832004
1.0	0.0454689484989
1.0	0.0411418277194
1.0	0.0372265059227
1.0	0.033683791681
1.0	0.0304782224415
1.0	0.0275776986007
1.0	0.0249532170447
1.0	0.0225785037238
1.0	0.0204297863708
1.0	0.0184855560323
1.0	0.0167263513858
1.0	0.0151345636549
1.0	0.0136942509486
1.0	0.0123910125485
1.0	0.011211801627
1.0	0.0101448135493
1.0	0.00917936758695
1.0	0.00830579981295
1.0	0.00751536622632
1.0	0.00680015080679
1.0	0.00615300191115
1.0	0.00556744137495
1.0	0.00503760735034
1.0	0.00455819609404
1.0	0.00412440878069
1.0	0.00373190339608
1.0	0.00337674921076
1.0	0.00305539457879
1.0	0.00276462289632
1.0	0.00250152333528
1.0	0.00226346220878
1.0	0.00204805655945
1.0	0.00185315027039
1.0	0.00167679152692
1.0	0.00151721650328
1.0	0.00137282806414
1.0	0.00124218077439
1.0	0.00112396682053
1.0	0.00101700289504
1.0	0.000920218333482
1.0	0.000832643958695
1.0	0.000753403811379
1.0	0.000681704871127
1.0	0.000616829375585
1.0	0.000558127901985
1.0	0.000505012854095
1.0	0.000456952571316
1.0	0.000413465807913
1.0	0.000374117538642
1.0	0.000338514009045
1.0	0.000306298798536
1.0	0.000277149422323
1.0	0.000250774097131
1.0	0.000226908815865
