repeat1.time	repeat1.S1	repeat1.S2	repeat1.S1/repeat1.S2
0.0	3.0	0.0	inf
0.1	2.85655231157	0.143447688431	19.913547181
0.2	2.72545263424	0.274547365757	9.92707625049
0.3	2.60564047592	0.394359524075	6.60727158051
0.4	2.49614119647	0.503858803531	4.95404898947
0.5	2.39606242015	0.603937579852	3.96740077135
0.6	2.30459392804	0.695406071961	3.31402617975
0.7	2.22099734019	0.779002659806	2.85107799343
0.8	2.14459630214	0.85540369786	2.50711600558
0.9	2.0747712683	0.925228731696	2.24244146039
1.0	2.01095495003	0.989045049972	2.0332288707
1.1	1.95263006271	1.04736993729	1.86431746147
1.2	1.89932503081	1.10067496919	1.72560027618
1.3	1.85060759389	1.14939240611	1.61007466558
1.4	1.80608284034	1.19391715966	1.51273714908
1.5	1.7653910163	1.2346089837	1.42991914008
1.6	1.72820206277	1.27179793723	1.35886528212
1.7	1.69421422819	1.30578577181	1.29746721458
1.8	1.66315152215	1.33684847785	1.24408379088
1.9	1.63476188914	1.36523811086	1.19741887963
2.0	1.60881512896	1.39118487104	1.15643518158
2.1	1.58510087471	1.41489912529	1.12029249744
2.2	1.56342663993	1.43657336007	1.0883026815
2.3	1.54361841171	1.45638158829	1.05989970219
2.4	1.52551551553	1.47448448447	1.03460940524
2.5	1.50897259943	1.49102740057	1.0120354588
2.6	1.49385470174	1.50614529826	0.991839700635
2.7	1.48003928557	1.51996071443	0.973735223228
2.8	1.46741391026	1.53258608974	0.957475681198
2.9	1.45587523401	1.54412476599	0.942848185642
3.0	1.44532981766	1.55467018234	0.929669735789
3.1	1.43569143261	1.56430856739	0.917780201773
3.2	1.42688230743	1.57311769257	0.907041039694
3.3	1.41883097159	1.58116902841	0.8973303588
3.4	1.41147241741	1.58852758259	0.888541334053
3.5	1.4047474459	1.5952525541	0.880579969792
3.6	1.39860217816	1.60139782184	0.873363357371
3.7	1.39298653163	1.60701346837	0.866816961429
3.8	1.38785403535	1.61214596465	0.860873683758
3.9	1.38316573733	1.61683426267	0.855477750106
4.0	1.37888357395	1.62111642605	0.850576523559
4.1	1.37497003645	1.62502996355	0.846119805355
4.2	1.3713900115	1.6286099885	0.842061648394
4.3	1.36812336592	1.63187663408	0.838374260255
4.4	1.365138814	1.634861186	0.835018181168
4.5	1.36240932263	1.63759067737	0.831959623029
4.6	1.35991061265	1.64008938735	0.829168594797
4.7	1.35763162171	1.64236837829	0.826630395266
4.8	1.35554890991	1.64445109009	0.824316951765
4.9	1.35364505624	1.64635494376	0.822207301871
5.0	1.35190445471	1.64809554529	0.820282815872
5.1	1.35031405525	1.64968594475	0.818527950458
5.2	1.34885951548	1.65114048452	0.816925953985
5.3	1.34752801724	1.65247198276	0.815461945073
5.4	1.3463099032	1.6536900968	0.814124669307
5.5	1.34519722559	1.65480277441	0.812904864792
5.6	1.34417978421	1.65582021579	0.811790900598
5.7	1.34324937679	1.65675062321	0.810773424778
5.8	1.34239878965	1.65760121035	0.80984423833
5.9	1.34162115154	1.65837884846	0.808995575878
6.0	1.3409098997	1.6590901003	0.808220059572
6.1	1.34025886979	1.65974113021	0.807510789119
6.2	1.33966445744	1.66033554256	0.806863686943
6.3	1.33912126751	1.66087873249	0.806272752683
6.4	1.33862473474	1.66137526526	0.805732914614
6.5	1.33817071705	1.66182928295	0.805239581931
6.6	1.33775617005	1.66224382995	0.804789373228
6.7	1.33737724779	1.66262275221	0.804378050289
6.8	1.33703060684	1.66296939316	0.804001933129
6.9	1.3367134355	1.6632865645	0.803657928842
7.0	1.3364239385	1.6635760615	0.803344054674
7.1	1.33615925352	1.66384074648	0.803057177405
7.2	1.33591713203	1.66408286797	0.802794835365
7.3	1.33569570568	1.66430429432	0.802554983629
7.4	1.33549332717	1.66450667283	0.802335820556
7.5	1.33530819567	1.66469180433	0.802135381572
7.6	1.33513874112	1.66486125888	0.801951954856
7.7	1.33498379923	1.66501620077	0.80178427009
7.8	1.33484216389	1.66515783611	0.801631013552
7.9	1.33471264217	1.66528735783	0.801490887381
8.0	1.33459418777	1.66540581223	0.801362753731
8.1	1.33448593675	1.66551406325	0.801245673145
8.2	1.334386984	1.665613016	0.801138662569
8.3	1.33429650291	1.66570349709	0.801040824637
8.4	1.33421376932	1.66578623068	0.800951373439
8.5	1.33413853608	1.66586146392	0.800870039303
8.6	1.33406998375	1.66593001625	0.800795934249
8.7	1.33400750649	1.66599249351	0.800728401651
8.8	1.3339504873	1.6660495127	0.800666773185
8.9	1.33389828104	1.66610171896	0.800610350409
9.0	1.33385019739	1.66614980261	0.800558386345
9.1	1.33380704205	1.66619295795	0.800511750869
9.2	1.33376836843	1.66623163157	0.80046996057
9.3	1.33373326399	1.66626673601	0.80043202878
9.4	1.3337012336	1.6662987664	0.800397420011
9.5	1.33367172511	1.66632827489	0.80036553733
9.6	1.33364411555	1.66635588445	0.800335707389
9.7	1.33361844638	1.66638155362	0.800307974775
9.8	1.33359649125	1.66640350875	0.800284255433
9.9	1.33357647351	1.66642352649	0.800262629709
10.0	1.33355808238	1.66644191762	0.800242761704
