repeat2.time	repeat2.S1	repeat2.S2	repeat1.time	repeat1.S1	repeat1.S2
0.0	2.5	22.5	2.0	2.05083082937	22.9491691706
0.30612244898	2.41849088302	22.581509117	2.16326530612	2.02185657122	22.9781434288
0.612244897959	2.34199861235	22.6580013876	2.32653061224	1.99383249394	23.0061675061
0.918367346939	2.27026830449	22.7297316955	2.48979591837	1.96674937422	23.0332506258
1.22448979592	2.20300287074	22.7969971293	2.65306122449	1.94057852287	23.0594214771
1.5306122449	2.13994761645	22.8600523836	2.81632653061	1.91528666731	23.0847133327
1.83673469388	2.0808304003	22.9191695997	2.97959183673	1.89085183961	23.1091481604
2.14285714286	2.02540256895	22.974597431	3.14285714286	1.86724294624	23.1327570538
2.44897959184	1.97342720857	23.0265727914	3.30612244898	1.84443170469	23.1555682953
2.75510204082	1.92468675505	23.0753132449	3.4693877551	1.8223907657	23.1776092343
3.0612244898	1.87897982055	23.1210201795	3.63265306122	1.80109333354	23.1989066665
3.36734693878	1.83611877817	23.1638812218	3.79591836735	1.78051726198	23.219482738
3.67346938776	1.7959257978	23.2040742022	3.95918367347	1.76063472628	23.2393652737
3.97959183673	1.75823414636	23.2417658536	4.12244897959	1.74142105118	23.2585789488
4.28571428571	1.72288861785	23.2771113821	4.28571428571	1.72285896765	23.2771410324
4.59183673469	1.68974349926	23.3102565007	4.44897959184	1.70492083786	23.2950791621
4.89795918367	1.65866650445	23.3413334955	4.61224489796	1.68758556089	23.3124144391
5.20408163265	1.62952125469	23.3704787453	4.77551020408	1.67083752433	23.3291624757
5.51020408163	1.60219395243	23.3978060476	4.9387755102	1.65465191691	23.3453480831
5.81632653061	1.57656394235	23.4234360576	5.10204081633	1.639010731	23.360989269
6.12244897959	1.55252858902	23.447471411	5.26530612245	1.62389876688	23.3761012331
6.42857142857	1.52998741615	23.4700125839	5.42857142857	1.60929417687	23.3907058231
6.73469387755	1.50884748596	23.491152514	5.59183673469	1.5951815034	23.4048184966
7.04081632653	1.48902342407	23.5109765759	5.75510204082	1.58154586056	23.4184541394
7.34693877551	1.47042797399	23.529572026	5.91836734694	1.56836796132	23.4316320387
7.65306122449	1.45298602761	23.5470139724	6.08163265306	1.55563456419	23.4443654358
7.95918367347	1.43663044279	23.5633695572	6.24489795918	1.54333117681	23.4566688232
8.26530612245	1.42129839758	23.5787016024	6.40816326531	1.53144069627	23.4685593037
8.57142857143	1.40691890939	23.5930810906	6.57142857143	1.51995188556	23.4800481144
8.87755102041	1.3934384592	23.6065615408	6.73469387755	1.50885066369	23.4911493363
9.18367346939	1.38079909976	23.6192009002	6.89795918367	1.49812185518	23.5018781448
9.48979591837	1.36894761641	23.6310523836	7.0612244898	1.48775604526	23.5122439547
9.79591836735	1.35783505099	23.642164949	7.22448979592	1.47773953644	23.5222604636
10.1020408163	1.34741449354	23.6525855065	7.38775510204	1.4680588973	23.5319411027
10.4081632653	1.337642893	23.662357107	7.55102040816	1.45870635238	23.5412936476
10.7142857143	1.3284791069	23.6715208931	7.71428571429	1.4496685547	23.5503314453
11.0204081633	1.31988581334	23.6801141867	7.87755102041	1.44093390778	23.5590660922
11.3265306122	1.31182742823	23.6881725718	8.04081632653	1.4324953601	23.5675046399
11.6326530612	1.30427024807	23.6957297519	8.20408163265	1.42434062749	23.5756593725
11.9387755102	1.29718423113	23.7028157689	8.36734693878	1.41645968212	23.5835403179
12.2448979592	1.29053871085	23.7094612891	8.5306122449	1.40884637842	23.5911536216
12.5510204082	1.28430747184	23.7156925282	8.69387755102	1.40148979697	23.598510203
12.8571428571	1.27846427612	23.7215357239	8.85714285714	1.39438063836	23.6056193616
13.1632653061	1.2729848607	23.7270151393	9.02040816327	1.38750966139	23.6124903386
13.4693877551	1.26784705804	23.732152942	9.18367346939	1.3808713126	23.6191286874
13.7755102041	1.26302887736	23.7369711226	9.34693877551	1.37445697707	23.6255430229
14.0816326531	1.25851106896	23.741488931	9.51020408163	1.36825828573	23.6317417143
14.387755102	1.25427436404	23.745725636	9.67346938776	1.36226759284	23.6377324072
14.693877551	1.25030153544	23.7496984646	9.83673469388	1.35647823098	23.643521769
15.0	1.24657607921	23.7534239208	10.0	1.35088413388	23.6491158661
