task1.k1	task1.S1
5.0	5.0
5.0	3.70412627003
5.0	2.74409671896
5.0	2.0328712008
5.0	1.50596132918
5.0	1.11563102087
5.0	0.82648705943
5.0	0.612276615912
5.0	0.453595433554
5.0	0.336035992052
5.0	0.248941052414
5.0	0.184422622283
5.0	0.136623891407
5.0	0.101217815541
5.0	0.0749858097194
5.0	0.055550375572
5.0	0.0411536309068
5.0	0.0304876784582
5.0	0.0225859205287
5.0	0.0167323457924
5.0	0.0123957191202
5.0	0.00918305976399
5.0	0.00680307164539
5.0	0.00503988014334
5.0	0.00373367381695
5.0	0.00276600580488
5.0	0.00204912741453
5.0	0.00151804737875
5.0	0.00112460866768
5.0	0.000833138872762
5.0	0.000617211508171
5.0	0.000457246201626
5.0	0.000338739701371
5.0	0.00025094713869
5.0	0.000185908275997
5.0	0.000137725669996
5.0	0.000102030724593
5.0	7.5586981295e-05
5.0	5.59968379883e-05
5.0	4.14839128583e-05
5.0	3.07323492721e-05
5.0	2.27673151006e-05
5.0	1.68666279561e-05
5.0	1.24952372344e-05
5.0	9.25679356958e-06
5.0	6.85767064924e-06
5.0	5.0803427561e-06
5.0	3.76365066606e-06
5.0	2.7882094059e-06
5.0	2.0655772028e-06
5.0	1.53023367352e-06
5.0	1.13363722347e-06
5.0	8.39827707489e-07
5.0	6.22166920024e-07
5.0	4.60942014001e-07
5.0	3.41531688666e-07
5.0	2.53060899132e-07
5.0	1.87492038129e-07
5.0	1.38906183887e-07
5.0	1.02915199435e-07
5.0	7.62536438756e-08
5.0	5.64966786499e-08
5.0	4.18587663344e-08
5.0	3.10210542314e-08
5.0	2.30114603247e-08
5.0	1.70802119264e-08
5.0	1.26770455939e-08
5.0	9.40493546577e-09
5.0	6.97226926718e-09
5.0	5.16690795514e-09
5.0	3.83626961581e-09
5.0	2.86963165224e-09
5.0	2.15712482538e-09
5.0	1.66878751001e-09
5.0	1.28325499999e-09
5.0	1.02641028098e-09
5.0	8.05485571172e-10
5.0	6.31856180644e-10
5.0	4.86109470979e-10
5.0	3.60788568013e-10
5.0	2.61079068059e-10
5.0	1.88275563805e-10
5.0	1.35779631462e-10
5.0	1.02011548473e-10
5.0	8.3741946535e-11
5.0	6.80828794112e-11
5.0	5.93273846618e-11
5.0	4.84099882889e-11
5.0	3.64556130897e-11
5.0	2.53170824337e-11
5.0	1.51683276828e-11
5.0	7.17414394502e-12
5.0	3.55291828272e-12
5.0	2.1099667589e-12
5.0	2.39830190352e-12
5.0	4.28129505329e-12
5.0	5.03764656431e-12
5.0	8.66375653209e-12
5.0	1.24312341999e-11
5.0	1.37740439689e-11
5.0	1.5535923212e-11
