task1.k1	task1.S1
2.0	5.0
2.0	4.43460476999
2.0	3.93315681062
2.0	3.48842416923
2.0	3.09396101651
2.0	2.7440917264
2.0	2.43378820126
2.0	2.15857378813
2.0	1.91447596701
2.0	1.69797750504
2.0	1.50596123557
2.0	1.33566017381
2.0	1.18461819864
2.0	1.05065668574
2.0	0.931843896647
2.0	0.826466874488
2.0	0.733006370685
2.0	0.650114835104
2.0	0.576597053107
2.0	0.511392977949
2.0	0.453562457694
2.0	0.40227166438
2.0	0.356781060343
2.0	0.316434734408
2.0	0.280650947712
2.0	0.248913747638
2.0	0.220765528418
2.0	0.195800432486
2.0	0.173658481045
2.0	0.154020421596
2.0	0.136603119434
2.0	0.121155441691
2.0	0.107454654707
2.0	0.0953032125027
2.0	0.0845259084461
2.0	0.074967349023
2.0	0.0664897132897
2.0	0.0589707656918
2.0	0.0523020936001
2.0	0.0463875441549
2.0	0.0411418378778
2.0	0.0364893390636
2.0	0.0323629652205
2.0	0.0287032198365
2.0	0.0254573345234
2.0	0.022578508172
2.0	0.020025232146
2.0	0.0177606917867
2.0	0.0157522355976
2.0	0.0139709044559
2.0	0.0123910140628
2.0	0.0109897846125
2.0	0.00974701233923
2.0	0.00864477820776
2.0	0.00766718954579
2.0	0.00680015089424
2.0	0.00603116077047
2.0	0.00534913141448
2.0	0.00474422891901
2.0	0.00420773143832
2.0	0.00373190343149
2.0	0.00330988391426
2.0	0.00293558778669
2.0	0.00260361869515
2.0	0.00230919011504
2.0	0.0020480568026
2.0	0.00181645358452
2.0	0.00161104106955
2.0	0.00142885749919
2.0	0.0012672760434
2.0	0.00112396692543
2.0	0.000996863829751
2.0	0.000884134108743
2.0	0.000784152358511
2.0	0.000695476982878
2.0	0.000616829407612
2.0	0.00054707564521
2.0	0.000485209944397
2.0	0.00043034028863
2.0	0.000381675534475
2.0	0.000338514004446
2.0	0.000300233369806
2.0	0.000266281677467
2.0	0.000236169391609
2.0	0.000209462335261
2.0	0.000185775430085
2.0	0.000164767144089
2.0	0.000146134567215
2.0	0.000129609043806
2.0	0.000114952298966
2.0	0.000101953002971
2.0	9.04237241946e-05
2.0	8.01982266025e-05
2.0	7.1129072865e-05
2.0	6.30854966425e-05
2.0	5.59515132007e-05
2.0	4.96242716689e-05
2.0	4.40125421774e-05
2.0	3.90354115235e-05
2.0	3.46211165179e-05
2.0	3.07060092627e-05
