task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.06	4.17635719491	0.823642805085
0.12	3.48842584189	1.51157415811
0.18	2.91378211063	2.08621788937
0.24	2.4337896523	2.5662103477
0.3	2.03286928976	2.96713071024
0.36	1.69797980357	3.30202019643
0.42	1.41824873095	3.58175126905
0.48	1.18461357963	3.81538642037
0.54	0.98947793565	4.01052206435
0.6	0.826485360412	4.17351463959
0.66	0.690338124148	4.30966187585
0.72	0.576619607424	4.42338039258
0.78	0.481643053494	4.51835694651
0.84	0.402309691365	4.59769030864
0.9	0.336037489214	4.66396251079
0.96	0.280680482634	4.71931951737
1.02	0.234445097927	4.76555490207
1.08	0.195827087783	4.80417291222
1.14	0.163569192346	4.83643080765
1.2	0.136624393784	4.86337560622
1.26	0.114118646079	4.88588135392
1.32	0.0953205062969	4.9046794937
1.38	0.0796187790002	4.920381221
1.44	0.0665033328825	4.93349666712
1.5	0.055548423645	4.94445157636
1.56	0.0463981794931	4.95360182051
1.62	0.0387551921554	4.96124480784
1.68	0.0323711527905	4.96762884721
1.74	0.0270387429259	4.97296125707
1.8	0.022584754053	4.97741524595
1.86	0.0188644560934	4.98113554391
1.92	0.015756977213	4.98424302279
1.98	0.0131613801193	4.98683861988
2.04	0.0109933503776	4.98900664962
2.1	0.0091824529224	4.99081754708
2.16	0.00766985959999	4.9923301404
2.22	0.00640642955914	4.99359357044
2.28	0.00535112090339	4.9946488791
2.34	0.00446964981725	4.99553035018
2.4	0.00373337948103	4.99626662052
2.46	0.00311839147588	4.99688160852
2.52	0.00260470944356	4.99739529056
2.58	0.00217564493164	4.99782435507
2.64	0.00181725864987	4.99818274135
2.7	0.00151790793309	4.99848209207
2.76	0.00126786810918	4.99873213189
2.82	0.00105901633363	4.99894098367
2.88	0.000884568044276	4.99911543196
2.94	0.000738856253217	4.99926114375
3.0	0.000617147059767	4.99938285294
3.06	0.000515486592098	4.99948451341
3.12	0.000430572266165	4.99956942773
3.18	0.000359645525239	4.99964035447
3.24	0.000300402247843	4.99969959775
3.3	0.000250918039093	4.99974908196
3.36	0.000209585195667	4.9997904148
3.42	0.000175060963911	4.99982493904
3.48	0.000146223779423	4.99985377622
3.54	0.000122136829855	4.99987786317
3.6	0.000102017620205	4.99989798238
3.66	8.52126011592e-05	4.9999147874
3.72	7.11758291969e-05	4.99992882417
3.78	5.94512856521e-05	4.99994054871
3.84	4.96580833325e-05	4.99995034192
3.9	4.1478077193e-05	4.99995852192
3.96	3.46455293039e-05	4.99996535447
4.02	2.89384829071e-05	4.99997106152
4.08	2.41715482759e-05	4.99997582845
4.14	2.01898543467e-05	4.99997981015
4.2	1.68640505479e-05	4.99998313595
4.26	1.40860937965e-05	4.99998591391
4.32	1.17657385977e-05	4.99998823426
4.38	9.82760532552e-06	4.99999017239
4.44	8.20873819225e-06	4.99999179126
4.5	6.85654166745e-06	4.99999314346
4.56	5.72708770038e-06	4.99999427291
4.62	4.78368449519e-06	4.99999521632
4.68	3.99568437379e-06	4.99999600432
4.74	3.33748815789e-06	4.99999666251
4.8	2.78771480174e-06	4.99999721229
4.86	2.32850434861e-06	4.9999976715
4.92	1.9449380352e-06	4.99999805506
4.98	1.62455520547e-06	4.99999837544
5.04	1.35694780499e-06	4.99999864305
5.1	1.13343204864e-06	4.99999886657
5.16	9.46749373131e-07	4.99999905325
5.22	7.90829691665e-07	4.99999920917
5.28	6.6060578027e-07	4.99999933939
5.34	5.51817772032e-07	4.99999944818
5.4	4.60934330194e-07	4.99999953907
5.46	3.85013975144e-07	4.99999961499
5.52	3.21599054603e-07	4.9999996784
5.58	2.68633048129e-07	4.99999973137
5.64	2.24391736268e-07	4.99999977561
5.7	1.87436674021e-07	4.99999981256
5.76	1.56567245563e-07	4.99999984343
5.82	1.3078010596e-07	4.99999986922
5.88	1.09239493068e-07	4.99999989076
5.94	9.12485470134e-08	4.99999990875
6.0	7.62318580359e-08	4.99999992377
