task1.k1	task1.S1
3.0	5.0
3.0	4.17635719491
3.0	3.48842584189
3.0	2.91378211063
3.0	2.4337896523
3.0	2.03286928976
3.0	1.69797980357
3.0	1.41824873095
3.0	1.18461357963
3.0	0.98947793565
3.0	0.826485360412
3.0	0.690338124148
3.0	0.576619607424
3.0	0.481643053494
3.0	0.402309691365
3.0	0.336037489214
3.0	0.280680482634
3.0	0.234445097927
3.0	0.195827087783
3.0	0.163569192346
3.0	0.136624393784
3.0	0.114118646079
3.0	0.0953205062969
3.0	0.0796187790002
3.0	0.0665033328825
3.0	0.055548423645
3.0	0.0463981794931
3.0	0.0387551921554
3.0	0.0323711527905
3.0	0.0270387429259
3.0	0.022584754053
3.0	0.0188644560934
3.0	0.015756977213
3.0	0.0131613801193
3.0	0.0109933503776
3.0	0.0091824529224
3.0	0.00766985959999
3.0	0.00640642955914
3.0	0.00535112090339
3.0	0.00446964981725
3.0	0.00373337948103
3.0	0.00311839147588
3.0	0.00260470944356
3.0	0.00217564493164
3.0	0.00181725864987
3.0	0.00151790793309
3.0	0.00126786810918
3.0	0.00105901633363
3.0	0.000884568044276
3.0	0.000738856253217
3.0	0.000617147059767
3.0	0.000515486592098
3.0	0.000430572266165
3.0	0.000359645525239
3.0	0.000300402247843
3.0	0.000250918039093
3.0	0.000209585195667
3.0	0.000175060963911
3.0	0.000146223779423
3.0	0.000122136829855
3.0	0.000102017620205
3.0	8.52126011592e-05
3.0	7.11758291969e-05
3.0	5.94512856521e-05
3.0	4.96580833325e-05
3.0	4.1478077193e-05
3.0	3.46455293039e-05
3.0	2.89384829071e-05
3.0	2.41715482759e-05
3.0	2.01898543467e-05
3.0	1.68640505479e-05
3.0	1.40860937965e-05
3.0	1.17657385977e-05
3.0	9.82760532552e-06
3.0	8.20873819225e-06
3.0	6.85654166745e-06
3.0	5.72708770038e-06
3.0	4.78368449519e-06
3.0	3.99568437379e-06
3.0	3.33748815789e-06
3.0	2.78771480174e-06
3.0	2.32850434861e-06
3.0	1.9449380352e-06
3.0	1.62455520547e-06
3.0	1.35694780499e-06
3.0	1.13343204864e-06
3.0	9.46749373131e-07
3.0	7.90829691665e-07
3.0	6.6060578027e-07
3.0	5.51817772032e-07
3.0	4.60934330194e-07
3.0	3.85013975144e-07
3.0	3.21599054603e-07
3.0	2.68633048129e-07
3.0	2.24391736268e-07
3.0	1.87436674021e-07
3.0	1.56567245563e-07
3.0	1.3078010596e-07
3.0	1.09239493068e-07
3.0	9.12485470134e-08
3.0	7.62318580359e-08
