task1.k1	task1.S1
4.0	5.0
4.0	3.93315766283
4.0	3.09396529983
4.0	2.43379073509
4.0	1.91448141599
4.0	1.50595974922
4.0	1.18461531356
4.0	0.931858763138
4.0	0.733027493533
4.0	0.576620337795
4.0	0.453595846829
4.0	0.356816101783
4.0	0.280679940676
4.0	0.220792523291
4.0	0.173683120649
4.0	0.136624047293
4.0	0.107474407618
4.0	0.0845440783768
4.0	0.0665046400931
4.0	0.0523145081866
4.0	0.0411530681734
4.0	0.032372967072
4.0	0.0254657300465
4.0	0.02003223821
4.0	0.0157582357884
4.0	0.0123960930444
4.0	0.00975121536637
4.0	0.00767067120718
4.0	0.00603407423452
4.0	0.00474664689486
4.0	0.0037338881526
4.0	0.0029372219259
4.0	0.0023105400067
4.0	0.00181756240821
4.0	0.00142976254674
4.0	0.00112470830504
4.0	0.000884741241134
4.0	0.000695972155406
4.0	0.000547478196117
4.0	0.000430668294852
4.0	0.000338780989625
4.0	0.000266498283745
4.0	0.000209637870482
4.0	0.000164909556588
4.0	0.000129724431768
4.0	0.000102046219086
4.0	8.02735819475e-05
4.0	6.31464156059e-05
4.0	4.96734691255e-05
4.0	3.90750513158e-05
4.0	3.07379950148e-05
4.0	2.4179735818e-05
4.0	1.90207288951e-05
4.0	1.49624394836e-05
4.0	1.17700530433e-05
4.0	9.25879284309e-06
4.0	7.28332595248e-06
4.0	5.72934889146e-06
4.0	4.50693498811e-06
4.0	3.54533389868e-06
4.0	2.78889549249e-06
4.0	2.19385611117e-06
4.0	1.72577491467e-06
4.0	1.3575626069e-06
4.0	1.06791087311e-06
4.0	8.4006136892e-07
4.0	6.60825797321e-07
4.0	5.19831417148e-07
4.0	4.08919540417e-07
4.0	3.21675189754e-07
4.0	2.53057071022e-07
4.0	1.99098676608e-07
4.0	1.56660529526e-07
4.0	1.23261820109e-07
4.0	9.6974338978e-08
4.0	7.62885704413e-08
4.0	6.00160336473e-08
4.0	4.72180701403e-08
4.0	3.71521341128e-08
4.0	2.92302323633e-08
4.0	2.29956433645e-08
4.0	1.80914702456e-08
4.0	1.42388818337e-08
4.0	1.12132459076e-08
4.0	8.84268904912e-09
4.0	6.97750729975e-09
4.0	5.51220464625e-09
4.0	4.3521338915e-09
4.0	3.43452074105e-09
4.0	2.70611554332e-09
4.0	2.12995886427e-09
4.0	1.67568980021e-09
4.0	1.31899757859e-09
4.0	1.0536946893e-09
4.0	8.61083729343e-10
4.0	7.17580747772e-10
4.0	5.87223878176e-10
4.0	5.58508629675e-10
4.0	5.6386850816e-10
4.0	5.66459354572e-10
4.0	5.08228840465e-10
