task1.k1	task1.S1
1.0	5.0
1.0	4.7088223025
1.0	4.43460472535
1.0	4.17635703661
1.0	3.93315599421
1.0	3.70412213992
1.0	3.48842143814
1.0	3.28527651155
1.0	3.09395716206
1.0	2.91377619661
1.0	2.74408852616
1.0	2.58428369745
1.0	2.43378582428
1.0	2.29205250765
1.0	2.1585713366
1.0	2.03286377247
1.0	1.91447313873
1.0	1.80297899982
1.0	1.69797476367
1.0	1.59908840933
1.0	1.50595893341
1.0	1.41825551101
1.0	1.33565831044
1.0	1.25787308996
1.0	1.18461663581
1.0	1.11562768459
1.0	1.05065532916
1.0	0.989467796383
1.0	0.931842718856
1.0	0.877574428102
1.0	0.826465869808
1.0	0.778334423007
1.0	0.733005526183
1.0	0.690316956464
1.0	0.650114129987
1.0	0.6122529195
1.0	0.576596466869
1.0	0.543016704816
1.0	0.511392494177
1.0	0.481610014087
1.0	0.453562063273
1.0	0.4271474554
1.0	0.402271347892
1.0	0.378843761454
1.0	0.356780811422
1.0	0.336002462146
1.0	0.316434543759
1.0	0.298005844958
1.0	0.280650768268
1.0	0.264306051202
1.0	0.248913558853
1.0	0.234417177239
1.0	0.220765330477
1.0	0.20790826785
1.0	0.195800225925
1.0	0.184397102007
1.0	0.173658283895
1.0	0.163544681746
1.0	0.154020248938
1.0	0.145050344423
1.0	0.136602968379
1.0	0.128647427664
1.0	0.121155309693
1.0	0.114099424462
1.0	0.107454539523
1.0	0.101196573062
1.0	0.0953031121526
1.0	0.0897528324769
1.0	0.0845258211798
1.0	0.0796032000442
1.0	0.0749672732947
1.0	0.0706013323244
1.0	0.0664896477333
1.0	0.0626174350368
1.0	0.0589707090993
1.0	0.0555363916079
1.0	0.0523020449033
1.0	0.0492561033521
1.0	0.0463875024083
1.0	0.0436860163928
1.0	0.0411418022448
1.0	0.0387458116898
1.0	0.0364893088033
1.0	0.0343642667507
1.0	0.0323629396771
1.0	0.0304782059212
1.0	0.0287031984291
1.0	0.0270315977209
1.0	0.0254573167377
1.0	0.0239747469494
1.0	0.0225784935524
1.0	0.0212635781526
1.0	0.0200252202894
1.0	0.0188590001183
1.0	0.017760682336
1.0	0.0167263422364
1.0	0.0157522282369
1.0	0.0148348545984
1.0	0.0139708989057
1.0	0.0131572646278
1.0	0.0123910100761
