task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.06	3.93315766283	1.06684233717
0.12	3.09396529983	1.90603470017
0.18	2.43379073509	2.56620926491
0.24	1.91448141599	3.08551858401
0.3	1.50595974922	3.49404025078
0.36	1.18461531356	3.81538468644
0.42	0.931858763138	4.06814123686
0.48	0.733027493533	4.26697250647
0.54	0.576620337795	4.42337966221
0.6	0.453595846829	4.54640415317
0.66	0.356816101783	4.64318389822
0.72	0.280679940676	4.71932005932
0.78	0.220792523291	4.77920747671
0.84	0.173683120649	4.82631687935
0.9	0.136624047293	4.86337595271
0.96	0.107474407618	4.89252559238
1.02	0.0845440783768	4.91545592162
1.08	0.0665046400931	4.93349535991
1.14	0.0523145081866	4.94768549181
1.2	0.0411530681734	4.95884693183
1.26	0.032372967072	4.96762703293
1.32	0.0254657300465	4.97453426995
1.38	0.02003223821	4.97996776179
1.44	0.0157582357884	4.98424176421
1.5	0.0123960930444	4.98760390696
1.56	0.00975121536637	4.99024878463
1.62	0.00767067120718	4.99232932879
1.68	0.00603407423452	4.99396592577
1.74	0.00474664689486	4.99525335311
1.8	0.0037338881526	4.99626611185
1.86	0.0029372219259	4.99706277807
1.92	0.0023105400067	4.99768945999
1.98	0.00181756240821	4.99818243759
2.04	0.00142976254674	4.99857023745
2.1	0.00112470830504	4.99887529169
2.16	0.000884741241134	4.99911525876
2.22	0.000695972155406	4.99930402784
2.28	0.000547478196117	4.9994525218
2.34	0.000430668294852	4.99956933171
2.4	0.000338780989625	4.99966121901
2.46	0.000266498283745	4.99973350172
2.52	0.000209637870482	4.99979036213
2.58	0.000164909556588	4.99983509044
2.64	0.000129724431768	4.99987027557
2.7	0.000102046219086	4.99989795378
2.76	8.02735819475e-05	4.99991972642
2.82	6.31464156059e-05	4.99993685358
2.88	4.96734691255e-05	4.99995032653
2.94	3.90750513158e-05	4.99996092495
3.0	3.07379950148e-05	4.999969262
3.06	2.4179735818e-05	4.99997582026
3.12	1.90207288951e-05	4.99998097927
3.18	1.49624394836e-05	4.99998503756
3.24	1.17700530433e-05	4.99998822995
3.3	9.25879284309e-06	4.99999074121
3.36	7.28332595248e-06	4.99999271667
3.42	5.72934889146e-06	4.99999427065
3.48	4.50693498811e-06	4.99999549307
3.54	3.54533389868e-06	4.99999645467
3.6	2.78889549249e-06	4.9999972111
3.66	2.19385611117e-06	4.99999780614
3.72	1.72577491467e-06	4.99999827423
3.78	1.3575626069e-06	4.99999864244
3.84	1.06791087311e-06	4.99999893209
3.9	8.4006136892e-07	4.99999915994
3.96	6.60825797321e-07	4.99999933917
4.02	5.19831417148e-07	4.99999948017
4.08	4.08919540417e-07	4.99999959108
4.14	3.21675189754e-07	4.99999967832
4.2	2.53057071022e-07	4.99999974694
4.26	1.99098676608e-07	4.9999998009
4.32	1.56660529526e-07	4.99999984334
4.38	1.23261820109e-07	4.99999987674
4.44	9.6974338978e-08	4.99999990303
4.5	7.62885704413e-08	4.99999992371
4.56	6.00160336473e-08	4.99999993998
4.62	4.72180701403e-08	4.99999995278
4.68	3.71521341128e-08	4.99999996285
4.74	2.92302323633e-08	4.99999997077
4.8	2.29956433645e-08	4.999999977
4.86	1.80914702456e-08	4.99999998191
4.92	1.42388818337e-08	4.99999998576
4.98	1.12132459076e-08	4.99999998879
5.04	8.84268904912e-09	4.99999999116
5.1	6.97750729975e-09	4.99999999302
5.16	5.51220464625e-09	4.99999999449
5.22	4.3521338915e-09	4.99999999565
5.28	3.43452074105e-09	4.99999999657
5.34	2.70611554332e-09	4.99999999729
5.4	2.12995886427e-09	4.99999999787
5.46	1.67568980021e-09	4.99999999832
5.52	1.31899757859e-09	4.99999999868
5.58	1.0536946893e-09	4.99999999895
5.64	8.61083729343e-10	4.99999999914
5.7	7.17580747772e-10	4.99999999928
5.76	5.87223878176e-10	4.99999999941
5.82	5.58508629675e-10	4.99999999944
5.88	5.6386850816e-10	4.99999999944
5.94	5.66459354572e-10	4.99999999943
6.0	5.08228840465e-10	4.99999999949
