task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.06	5.0	0.0
0.12	5.0	0.0
0.18	5.0	0.0
0.24	5.0	0.0
0.3	5.0	0.0
0.36	5.0	0.0
0.42	5.0	0.0
0.48	5.0	0.0
0.54	5.0	0.0
0.6	5.0	0.0
0.66	5.0	0.0
0.72	5.0	0.0
0.78	5.0	0.0
0.84	5.0	0.0
0.9	5.0	0.0
0.96	5.0	0.0
1.02	5.0	0.0
1.08	5.0	0.0
1.14	5.0	0.0
1.2	5.0	0.0
1.26	5.0	0.0
1.32	5.0	0.0
1.38	5.0	0.0
1.44	5.0	0.0
1.5	5.0	0.0
1.56	5.0	0.0
1.62	5.0	0.0
1.68	5.0	0.0
1.74	5.0	0.0
1.8	5.0	0.0
1.86	5.0	0.0
1.92	5.0	0.0
1.98	5.0	0.0
2.04	5.0	0.0
2.1	5.0	0.0
2.16	5.0	0.0
2.22	5.0	0.0
2.28	5.0	0.0
2.34	5.0	0.0
2.4	5.0	0.0
2.46	5.0	0.0
2.52	5.0	0.0
2.58	5.0	0.0
2.64	5.0	0.0
2.7	5.0	0.0
2.76	5.0	0.0
2.82	5.0	0.0
2.88	5.0	0.0
2.94	5.0	0.0
3.0	5.0	0.0
3.06	5.0	0.0
3.12	5.0	0.0
3.18	5.0	0.0
3.24	5.0	0.0
3.3	5.0	0.0
3.36	5.0	0.0
3.42	5.0	0.0
3.48	5.0	0.0
3.54	5.0	0.0
3.6	5.0	0.0
3.66	5.0	0.0
3.72	5.0	0.0
3.78	5.0	0.0
3.84	5.0	0.0
3.9	5.0	0.0
3.96	5.0	0.0
4.02	5.0	0.0
4.08	5.0	0.0
4.14	5.0	0.0
4.2	5.0	0.0
4.26	5.0	0.0
4.32	5.0	0.0
4.38	5.0	0.0
4.44	5.0	0.0
4.5	5.0	0.0
4.56	5.0	0.0
4.62	5.0	0.0
4.68	5.0	0.0
4.74	5.0	0.0
4.8	5.0	0.0
4.86	5.0	0.0
4.92	5.0	0.0
4.98	5.0	0.0
5.04	5.0	0.0
5.1	5.0	0.0
5.16	5.0	0.0
5.22	5.0	0.0
5.28	5.0	0.0
5.34	5.0	0.0
5.4	5.0	0.0
5.46	5.0	0.0
5.52	5.0	0.0
5.58	5.0	0.0
5.64	5.0	0.0
5.7	5.0	0.0
5.76	5.0	0.0
5.82	5.0	0.0
5.88	5.0	0.0
5.94	5.0	0.0
6.0	5.0	0.0
