task1.k1	task1.S1
5.0	5.0
5.0	3.03270553274
5.0	1.83941358456
5.0	1.11563347944
5.0	0.67667140505
5.0	0.410425413331
5.0	0.248937039724
5.0	0.150988883571
5.0	0.0915800403114
5.0	0.0555464635182
5.0	0.0336908586133
5.0	0.0204346723452
5.0	0.0123943393732
5.0	0.00751759591237
5.0	0.00455968312528
5.0	0.00276560577088
5.0	0.00167743595742
5.0	0.0010174230378
5.0	0.000617102393158
5.0	0.000374293997375
5.0	0.000227022296267
5.0	0.000137696898103
5.0	8.35179435223e-05
5.0	5.06565317084e-05
5.0	3.07249419103e-05
5.0	1.86357444439e-05
5.0	1.13032243366e-05
5.0	6.85579843564e-06
5.0	4.15827897252e-06
5.0	2.5221455308e-06
5.0	1.52987509712e-06
5.0	9.27983953158e-07
5.0	5.62883248264e-07
5.0	3.41430325441e-07
5.0	2.07099449974e-07
5.0	1.25620708653e-07
5.0	7.62083227922e-08
5.0	4.627959258e-08
5.0	2.81156337658e-08
5.0	1.70625160497e-08
5.0	1.03690285149e-08
5.0	6.35368711511e-09
5.0	3.94292671234e-09
5.0	2.45771180174e-09
5.0	1.51238927969e-09
5.0	9.13832399124e-10
5.0	5.54071675526e-10
5.0	3.47035208118e-10
5.0	2.21014143421e-10
5.0	1.43551287286e-10
5.0	9.25146656246e-11
5.0	5.82582518974e-11
5.0	3.49638459689e-11
5.0	1.64227777422e-11
5.0	6.09736542205e-12
5.0	-8.61037626684e-12
5.0	-1.93803125017e-11
5.0	-2.01463745525e-11
5.0	-2.81878209645e-11
5.0	-3.09376778973e-11
5.0	-2.69976723841e-11
5.0	-3.54978058136e-11
5.0	-4.62150520609e-11
5.0	-5.40509907705e-11
5.0	-4.934188552e-11
5.0	-5.79271462433e-11
5.0	-7.63736949495e-11
5.0	-9.04378618011e-11
5.0	-8.99331883336e-11
5.0	-7.55355784445e-11
5.0	-8.0948486099e-11
5.0	-8.23943113203e-11
5.0	-7.66183976416e-11
5.0	-5.92546970987e-11
5.0	-4.54459057047e-11
5.0	-3.27675414398e-11
5.0	-2.04422123394e-11
5.0	-1.06963691838e-11
5.0	-3.42909010853e-12
5.0	4.96234455291e-12
5.0	1.06804709154e-11
5.0	1.28505348682e-11
5.0	1.0603257751e-11
5.0	7.70022122384e-12
5.0	3.60141393064e-12
5.0	-6.38698694895e-13
5.0	-3.20782046947e-12
5.0	-4.92998680386e-12
5.0	-8.30240694944e-12
5.0	-1.03958972756e-11
5.0	-1.05360059915e-11
5.0	-8.05044565706e-12
5.0	-5.79931147257e-12
5.0	-2.86011053402e-12
5.0	-4.48300344903e-15
5.0	1.64757724961e-12
5.0	3.05399978331e-12
5.0	5.30344783766e-12
5.0	6.70287222645e-12
5.0	6.78311174487e-12
5.0	5.19073994115e-12
